Ano;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Status_1;CAGR_1;2021;2022;2023;2024;2025;Status_2;CAGR_2
N_de_acoes;88461538.46;88288288.29;88709677.42;88976377.95;88970588.24;88721804.51;89595375.72;90566037.74;91111111.11;100000000;CAGR_RUIM;0.012335697;100616784.8;101237373.9;101861790.7;102490058.8;103122202;CAGR_RUIM;0.004931243
Vlr_acao;23.2;39.55;29.75;26.96;21;25.06;54.7;55.06;64;68.18;CAGR_BOM;0.113824845;72.06028898;76.16141461;80.49594523;85.07716449;89.91911204;CAGR_BOM;0.045276537
Receita_liquida;678;860;962;1052;1120;1239;1360;1526;1679;1590;CAGR_BOM;0.088972075;1731.465599;1885.517686;2053.276107;2235.960342;2434.898373;CAGR_BOM;0.070565872
Custos;-397;-484;-537;-603;-644;-689;-736;-815;-903;-835;CAGR_RUIM;0.077183263;-899.4480247;-968.8703582;-1043.650934;-1124.203319;-1210.972999;CAGR_RUIM;0.061284148
Resultado_bruto;281;376;425;449;476;550;624;711;776;755;CAGR_BOM;0.103885588;832.0175744;916.6473278;1009.625173;1111.757024;1223.925374;CAGR_BOM;0.080250529
Despesas_oper;-167;-247;-277;-301;-334;-397;-450;-519;-552;-663;CAGR_RUIM;0.147835641;-761.01503;-873.5201747;-1002.65759;-1150.886117;-1321.028104;CAGR_RUIM;0.116615789
Res_operacional;114;129;148;148;142;153;174;192;224;92;CAGR_RUIM;-0.021212763;71.00254441;43.12715307;6.967583127;-39.12909341;-97.10272973;CAGR_RUIM;-2.064612363
Res_Financeiro;11;5;7;13;23;5;9;-21;-18;-37;CAGR_RUIM;0;-37;-37;-37;-37;-37;CAGR_RUIM;0
IR_e_CSSL;-33;-36;-45;-48;-44;-40;-28;-27;-42;-5;CAGR_BOM;-0.171970887;-4.140145564;-3.428161058;-2.838617159;-2.350457648;-1.94624736;CAGR_BOM;-0.140122698
Lucro_liquido;92;98;110;113;121;118;155;144;164;50;CAGR_RUIM;-0.059154704;29.86239885;2.698992016;-32.87103403;-78.47955106;-136.0489771;CAGR_RUIM;-2.354297628
Depreciacao;4;7;11;13;23;24;32;40;79;81;CAGR_BOM;0.350960039;109.4277631;147.8325351;199.7158473;269.8081287;364.5;CAGR_BOM;0.272078763
Ativo_Total;510;636;703;796;853;907;1049;1045;1413;2832;CAGR_BOM;0.187004341;3079.613028;3353.612589;3651.990459;3976.915628;4330.750063;CAGR_BOM;0.070565872
Ativo_Circulante;432;513;553;618;658;706;855;842;980;1564;CAGR_BOM;0.137300684;1700.974381;1852.313601;2017.117785;2196.58494;2392.01966;CAGR_BOM;0.070565872
Caixa;173;202;185;200;225;242;337;235;277;561;CAGR_BOM;0.124842393;610.913334;665.2675609;724.4577962;788.9143095;859.1056525;CAGR_BOM;0.070565872
