Ano;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Status_1;CAGR_1;2021;2022;2023;2024;2025;Status_2;CAGR_2
N_de_acoes;62607204.12;62414965.99;62389380.53;62435233.16;62344582.59;62352941.18;62377317.34;62392730.94;500000000;540000000;CAGR_BOM;0.240443378;604919712.1;677644181.6;759111709.6;850373401.5;952606728.1;CAGR_BOM;0.095073278
Vlr_acao;8.47;12.54;11.17;9.02;5.17;7.01;17.52;19.85;23.72;14.91;CAGR_RUIM;0.058179694;15.34372962;15.79007636;16.24940727;16.72210004;17.20854337;CAGR_RUIM;0.023204955
Receita_liquida;3046;3545;4069;4728;5507;5921;6444;7192;7808;6245;CAGR_RUIM;0.074435265;6709.848232;7209.297565;7745.923541;8322.493415;8941.98042;CAGR_BOM;0.059117645
Custos;-1298;-1474;-1651;-1824;-2181;-2347;-2338;-2523;-2880;-3084;CAGR_BOM;0.090395292;-3362.779081;-3666.758478;-3998.216181;-4359.6361;-4753.726679;CAGR_RUIM;0.071685054
Resultado_bruto;1748;2071;2418;2904;3326;3574;4106;4669;4928;3161;CAGR_RUIM;0.061031572;3347.069151;3542.539087;3747.70736;3962.857314;4188.253741;CAGR_BOM;0.045860257
Despesas_oper;-1268;-1566;-1845;-2271;-2852;-3170;-3217;-3258;-4119;-3192;CAGR_BOM;0.096716463;-3500.718951;-3839.296107;-4210.619248;-4617.85545;-5064.478097;CAGR_RUIM;0.076652344
Res_operacional;480;505;573;633;474;404;889;1411;809;-31;CAGR_RUIM;0;-153.6497999;-296.7570199;-462.9118878;-654.9981356;-876.2243562;CAGR_BOM;0.416500279
Res_Financeiro;-13;-20;-35;-29;-94;-128;-112;378;-95;-169;CAGR_BOM;0.292392221;-218.4142853;-282.2769232;-364.8124997;-471.4808367;-609.3381656;CAGR_BOM;0.22776562
IR_e_CSSL;-102;-118;-115;-122;-29;42;-205;-553;-119;173;CAGR_BOM;0;173;173;173;173;173;CAGR_BOM;0
Lucro_liquido;365;367;423;482;351;318;572;1236;595;-27;CAGR_RUIM;0;-199.0640852;-406.0339432;-654.7243875;-953.4789722;-1312.562522;CAGR_BOM;0.458227947
Depreciacao;123.07;149;174;211;251;286;887.811;1409.299;807.886;524;CAGR_BOM;0.155893732;605.6883155;700.1113273;809.2542947;935.4119667;1081.236829;CAGR_BOM;0.122882535
Ativo_Total;3710;4240;4758;5941;7032;7720;7981;10472;12602;13826;CAGR_RUIM;0.140597103;14851.91867;15957.42518;17145.22035;18421.42938;19792.63336;CAGR_BOM;0.059117645
Ativo_Circulante;1954;2372;2619;3563;4131;4776;5037;6519;7509;8701;CAGR_BOM;0.161086194;9346.512373;10042.2225;10789.718;11592.85352;12455.77064;CAGR_BOM;0.059117645
Caixa;272;460;409;561;653;953;782;1162;1569;3378;CAGR_BOM;0.286497878;3629.442326;3899.600828;4189.868651;4501.742635;4836.831042;CAGR_BOM;0.059117645
Recebiveis;1078;1291;1522;2102;2498;2750;3127;3812;4351;3738;CAGR_RUIM;0.132405718;4016.239022;4315.188839;4636.391064;4981.502063;5352.301491;CAGR_BOM;0.059117645
Estoque;558;537;558;774;744;662;730;926;1051;1042;CAGR_RUIM;0.064445308;1119.561546;1202.896407;1292.43432;1388.637012;1492.000576;CAGR_BOM;0.059117645
Outros_AC;44;82;128;125;235;410;397;617;536;541;CAGR_BOM;0.285211074;581.2694785;624.5364263;671.0239609;720.9718074;774.6375352;CAGR_BOM;0.059117645
Ativo_Nao_Circ;1756;1868;2138;2377;2901;2944;2944;3952;5093;5125;CAGR_RUIM;0.113055797;5505.406299;5915.202678;6355.502358;6828.575862;7336.862718;CAGR_BOM;0.059117645
Imobilizado;1321;1440;1670;1832;2082;1993;1847;1883;2783;2577;CAGR_RUIM;0.069106968;2768.819679;2974.917506;3196.35628;3434.277907;3689.909294;CAGR_BOM;0.059117645
Intangivel;40;39;52;66;102;112;137;188;295;483;CAGR_BOM;0.282887915;518.9522331;557.5805803;599.0842387;643.6772329;691.5895185;CAGR_BOM;0.059117645
Outros_ANC;394;388;415;478;716;838;959;1880;2014;2064;CAGR_BOM;0.180106893;2217.634388;2382.704591;2560.06184;2750.620722;2955.363905;CAGR_BOM;0.059117645
Passivo_Total;3710;4240;4758;5941;7032;7720;7981;10472;12602;13826;CAGR_BOM;0.140597103;14851.91867;15957.42518;17145.22035;18421.42938;19792.63336;CAGR_RUIM;0.059117645
Passivo_Circ;821;995;1240;1643;2715;3045;2824;3937;4400;5080;CAGR_RUIM;0.199919346;5455.982277;5862.099765;6298.446716;6767.273268;7270.997049;CAGR_RUIM;0.059117645
Fornecedores;222;227;244;256;502;453;524;519;631;1033;CAGR_RUIM;0.166204559;1109.891629;1192.506707;1281.27126;1376.643026;1479.113815;CAGR_RUIM;0.059117645
Emprest_CP;137;148;170;212;836;931;581;726;821;1301;CAGR_RUIM;0.252436376;1397.84028;1501.888892;1613.68239;1733.797267;1862.852927;CAGR_RUIM;0.059117645
Outros_PC;462;618;825;1174;1376;1659;1719;2690;2946;2744;CAGR_RUIM;0.195017357;2948.250368;3167.704166;3403.493066;3656.832975;3929.030308;CAGR_RUIM;0.059117645
Passivo_Nao_Circ;650;718;688;1122;927;1059;1132;1605;2977;3718;CAGR_RUIM;0.190527969;3994.750316;4292.100616;4611.584264;4954.848762;5323.664244;CAGR_RUIM;0.059117645
Emprest_LP;426;476;406;790;581;659;718;1416;2003;2783;CAGR_RUIM;0.20645287;2990.153343;3212.726201;3451.866328;3708.806913;3984.87294;CAGR_RUIM;0.059117645
Outros_PNC;224;242;281;331;345;399;413;189;973;935;CAGR_RUIM;0.153602953;1004.596973;1079.374415;1159.717936;1246.041848;1338.791304;CAGR_RUIM;0.059117645
Patrimonio_Liq;2238;2526;2829;3175;3390;3616;4025;4929;5224;5027;CAGR_BOM;0.084288572;5401.186079;5803.224797;6235.189374;6699.307349;7197.972069;CAGR_RUIM;0.059117645
Disponibilidades;272;460;409;561;653;953;782;1162;1569;3378;CAGR_BOM;0.286497878;4210.711805;4524.137255;4860.892611;5222.714442;5611.468577;CAGR_BOM;0.059117645
Divida_bruta;563;624;577;1002;1418;1590;1299;2142;2825;4085;CAGR_RUIM;0.219181507;4387.993623;4714.615093;5065.548718;5442.60418;5847.725866;CAGR_RUIM;0.059117645
Divida_liq;291;164;168;441;765;637;517;980;1256;707;CAGR_BOM;0;177.2818188;190.477838;204.6561064;219.8897379;236.2572889;CAGR_RUIM;0.059117645
FCO;90;413;456;190;345;417;451;278;595;1390;CAGR_RUIM;0;1390;1390;1390;1390;1390;CAGR_RUIM;0
FCI;-242;-246;-415;-376;-529;-278;-172;-371;-544;-129;CAGR_RUIM;-0.060974395;-121.134303;-113.7482121;-106.8124837;-100.299657;-94.1839461;CAGR_RUIM;-0.049084454
FCF;131;19;-104;311;192;110;-485;449;124;717;CAGR_RUIM;0;717;717;717;717;717;CAGR_RUIM;0
FCT;-21;186;-63;125;8;249;-206;356;175;1978;CAGR_BOM;0.575435761;3116.211935;4909.39172;7734.431278;12185.09962;19196.84169;CAGR_BOM;0.438535419
