Ano;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Status_1;CAGR_1;2021;2022;2023;2024;2025;Status_2;CAGR_2
N_de_acoes;185714285.7;200000000;184126984.1;179452054.8;21885521.89;21969696.97;190731707.3;190764331.2;1619298246;6550000000;CAGR_BOM;0.428037456;7951822669;9653661643;11719726029;14227966888;17273018265;CAGR_BOM;0.167831833
Vlr_acao;9.54;12.15;7.55;7.71;17.65;106.17;80.22;181.07;47.7;24.95;CAGR_RUIM;0.100911016;26.20886493;27.53124653;28.92034956;30.37954049;31.91235565;CAGR_RUIM;0.040164746
Receita_liquida;6419;7665;8109;9779;8978;9508;11984;15590;19886;29177;CAGR_BOM;0.163475724;33946.73119;39496.19763;45952.86712;53465.04532;62205.28228;CAGR_BOM;0.128771046
Custos;-4275;-5146;-5825;-7086;-6399;-6586;-8378;-11053;-14332;-21657;CAGR_RUIM;0.176159492;-25472.08611;-29959.23586;-35236.83962;-41444.14338;-48744.92262;CAGR_RUIM;0.138604705
Resultado_bruto;2144;2519;2284;2693;2579;2922;3606;4537;5554;7520;CAGR_RUIM;0.133703026;8474.645073;9536.961772;10716.02749;12020.90194;13460.35967;CAGR_BOM;0.096950497
Despesas_oper;-1930;-2370;-1908;-2201;-2239;-2341;-2718;-3455;-4265;-6695;CAGR_BOM;0.132450759;-7581.757832;-8585.967413;-9723.185314;-11011.02859;-12469.44769;CAGR_RUIM;0.10462651
Res_operacional;214;149;376;492;340;581;888;1082;1289;825;CAGR_BOM;0.144468958;892.8872406;950.9943591;992.8421801;1009.873346;990.9119838;CAGR_RUIM;0.021051606
Res_Financeiro;-165;-172;-243;-360;-486;-503;-410;-294;-70;-410;CAGR_RUIM;0.095292191;-449.0697982;-491.8626431;-538.7333119;-590.0703895;-646.2994896;CAGR_BOM;0.075533626
IR_e_CSSL;-36;17;-17;-1;81;9;-87;-189;-296;-22;CAGR_BOM;-0.048054647;-20.94279776;-19.936399;-18.97836237;-18.06636386;-17.19819112;CAGR_BOM;-0.038632106
Lucro_liquido;13;-6;116;131;-65;87;391;599;923;393;CAGR_BOM;0.406192962;422.8746446;439.195317;435.1305058;401.7365927;327.414303;CAGR_RUIM;-0.049882756
Depreciacao;87;93;101;113;125;134;886.969;1080.755;1287.224;823.473;CAGR_BOM;0.25202503;1031.008807;1290.848833;1616.175048;2023.491613;2533.462147;CAGR_BOM;0.196989688
Ativo_Total;4877;5664;4713;5290;5588;6187;7419;8796;19791;24647;CAGR_BOM;0.175874929;28671.53226;33358.63174;38811.9582;45156.77115;52538.80698;CAGR_BOM;0.128771046
Ativo_Circulante;3567;4069;2921;3395;3360;3919;5257;6412;12841;16798;CAGR_BOM;0.167603658;19542.90173;22737.69173;26454.75234;30779.46212;35811.15696;CAGR_BOM;0.128771046
Caixa;248;598;771;863;1115;1418;1672;1008;4753;2903;CAGR_BOM;0.278908682;3377.570026;3929.720729;4572.134669;5319.567692;6189.18787;CAGR_BOM;0.128771046
Recebiveis;1927;2104;530;618;435;581;1241;2051;2915;4761;CAGR_RUIM;0.094666044;5539.30792;6444.85029;7498.426855;8724.23761;10150.43867;CAGR_BOM;0.128771046
Estoque;1264;1068;1251;1472;1353;1596;1969;2810;3801;5927;CAGR_BOM;0.167101925;6895.920614;8023.236225;9334.840573;10860.86039;12636.3474;CAGR_BOM;0.128771046
Outros_AC;126;298;368;441;457;323;374;542;1370;3206;CAGR_BOM;0.38216311;3730.10317;4339.884484;5049.350241;5874.796425;6835.183021;CAGR_BOM;0.128771046
Ativo_Nao_Circ;1310;1594;1791;1894;2228;2267;2161;2384;6949;7848;CAGR_BOM;0.196048443;9128.630527;10620.94001;12357.20586;14377.30903;16727.65003;CAGR_BOM;0.128771046
