Ano;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Status_1;CAGR_1;2021;2022;2023;2024;2025;Status_2;CAGR_2
N_de_acoes;122992700.7;124041811.8;125846153.8;127419354.8;638461538.5;645360824.7;712621359.2;719014084.5;797826087;794927536.2;CAGR_BOM;0.20516031;876471326;966379890.3;1065511289;1174811602;1295323958;CAGR_BOM;0.081255021
Vlr_acao;48.41;79.75;61;76.47;17.1;23.17;35.49;42.4;56.19;43.54;CAGR_RUIM;-0.010546625;43.31039997;43.0820107;42.85482579;42.62883891;42.40404372;CAGR_RUIM;-0.004220879
Receita_liquida;3238;3862;4370;5216;6145;6451;7444;8426;9588;7537;CAGR_BOM;0.088158521;8201.45077;8924.478537;9711.247363;10567.37656;11498.98085;CAGR_BOM;0.069925981
Custos;-1396;-1634;-1867;-2165;-2511;-2575;-2944;-3284;-3730;-3223;CAGR_RUIM;0.087270209;-3504.271885;-3810.090425;-4142.597814;-4504.123192;-4897.198966;CAGR_RUIM;0.069227182
Resultado_bruto;1842;2228;2503;3051;3634;3876;4500;5142;5858;4314;CAGR_BOM;0.088827426;4697.178886;5114.388112;5568.649549;6063.253372;6601.781884;CAGR_BOM;0.070446125
Despesas_oper;-1369;-1669;-1852;-2248;-2700;-2900;-3412;-3718;-4214;-3456;CAGR_RUIM;0.097026273;-3791.322798;-4159.180717;-4562.730519;-5005.435254;-5491.093979;CAGR_RUIM;0.07689565
Res_operacional;473;559;651;803;934;976;1088;1424;1644;858;CAGR_RUIM;0.061359752;905.8560878;955.2073951;1005.91903;1057.818118;1110.687904;CAGR_BOM;0.041613421
Res_Financeiro;2;-50;-67;-93;-104;-103;-83;-53;-131;343;CAGR_BOM;0.672732182;573.7471384;959.7253027;1605.3634;2685.343022;4491.859693;CAGR_BOM;0.509180308
IR_e_CSSL;-138;-153;-175;-236;-249;-247;-271;-350;-412;-104;CAGR_BOM;-0.027889967;-101.0994434;-98.27978322;-95.53876328;-92.87419029;-90.28393216;CAGR_BOM;-0.022374907
Lucro_liquido;337;356;409;474;581;626;734;1021;1101;1097;CAGR_BOM;0.125272415;1378.503783;1816.652915;2515.743666;3650.28695;5512.263665;CAGR_BOM;0.319424075
Depreciacao;97;133;167;801.985;932.802;974.713;1086.584;1422.262;1641.626;856.352;CAGR_BOM;0.243334711;1064.732166;1323.81846;1645.949442;2046.466073;2544.442303;CAGR_BOM;0.190338407
Ativo_Total;2983;3770;4515;5321;5863;6475;7547;8821;11791;14642;CAGR_BOM;0.172451037;15929.55258;17333.87837;18862.00745;20524.85412;22334.2949;CAGR_BOM;0.069925981
Ativo_Circulante;2035;2496;3001;3499;3721;4085;4907;5930;6656;8896;CAGR_BOM;0.15894556;9679.170041;10532.47135;11460.99845;12471.38312;13570.8418;CAGR_BOM;0.069925981
Caixa;578;683;801;834;737;894;1142;1384;1372;2672;CAGR_BOM;0.165442527;2907.559567;3163.885717;3442.809202;3746.322168;4076.592388;CAGR_BOM;0.069925981
Recebiveis;1022;1310;1621;1981;2268;2266;2696;3162;3825;3811;CAGR_BOM;0.140666811;4146.972122;4512.56305;4910.383933;5343.276116;5814.331434;CAGR_BOM;0.069925981
Estoque;402;454;506;612;622;782;923;1110;1124;1381;CAGR_BOM;0.13134943;1502.746917;1635.226862;1779.386043;1936.254085;2106.95138;CAGR_BOM;0.069925981
Outros_AC;32;49;71;71;92;142;145;272;333;1031;CAGR_BOM;0.415177349;1121.891435;1220.795724;1328.419269;1445.530747;1572.966599;CAGR_BOM;0.069925981
Ativo_Nao_Circ;947;1273;1514;1822;2142;2389;2639;2890;5135;5745;CAGR_BOM;0.197550966;6250.382543;6801.407021;7401.009003;8053.471008;8763.453098;CAGR_BOM;0.069925981
Imobilizado;599;846;1063;1304;1545;1645;1813;1994;4053;3854;CAGR_BOM;0.204615616;4193.762939;4563.478875;4965.788422;5403.564983;5879.935279;CAGR_BOM;0.069925981
Intangivel;204;256;322;368;420;500;526;635;784;940;CAGR_BOM;0.165063962;1022.869009;1113.043628;1211.167908;1317.942679;1434.130556;CAGR_BOM;0.069925981
Outros_ANC;143;170;128;150;176;244;299;261;297;950;CAGR_BOM;0.208478023;1033.750595;1124.884518;1224.052673;1331.963346;1449.387264;CAGR_BOM;0.069925981
Passivo_Total;2983;3770;4515;5321;5863;6475;7547;8821;11791;14642;CAGR_RUIM;0.172451037;15929.55258;17333.87837;18862.00745;20524.85412;22334.2949;CAGR_RUIM;0.069925981
Passivo_Circ;1065;1725;1932;2037;2319;2917;2941;4324;4768;5633;CAGR_RUIM;0.181242365;6128.508788;6668.789057;7256.699635;7896.43954;8592.577968;CAGR_RUIM;0.069925981
Fornecedores;429;456;471;561;553;679;842;955;1082;1404;CAGR_RUIM;0.125877089;1527.774563;1662.460908;1809.021003;1968.501618;2142.041809;CAGR_RUIM;0.069925981
Emprest_CP;172;670;735;559;706;996;516;1423;894;1418;CAGR_RUIM;0.234851627;1543.008782;1679.038154;1827.059674;1988.130552;2163.4012;CAGR_RUIM;0.069925981
Outros_PC;463;598;725;916;1059;1241;1582;1944;2791;2810;CAGR_RUIM;0.197602056;3057.725443;3327.289995;3620.618958;3939.80737;4287.134959;CAGR_RUIM;0.069925981
Passivo_Nao_Circ;762;739;1089;1428;1233;920;1382;542;2318;3507;CAGR_RUIM;0.164925305;3816.171932;4152.600004;4518.687077;4917.047845;5350.52751;CAGR_RUIM;0.069925981
Emprest_LP;666;645;1046;1395;1196;879;1353;499;751;1966;CAGR_RUIM;0.114322574;2139.319652;2327.918907;2533.144794;2756.463092;2999.468801;CAGR_RUIM;0.069925981
Outros_PNC;96;93;42;33;37;40;28;42;1567;1541;CAGR_RUIM;0.31993681;1676.85228;1824.681097;1985.542283;2160.584753;2351.058709;CAGR_RUIM;0.069925981
Patrimonio_Liq;1154;1305;1493;1855;2310;2636;3223;3954;4704;5501;CAGR_RUIM;0.169024421;5984.871864;6512.489314;7086.620737;7711.366738;8391.189422;CAGR_RUIM;0.069925981
