Ano;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Status_1;CAGR_1;2021;2022;2023;2024;2025;Status_2;CAGR_2
N_de_acoes;331250000;323000000;1300000000;1284931507;1400000000;1357142857;1300000000;1271428571;1302727273;1593650794;CAGR_BOM;0.170102016;1729192400;1876261957;2035839928;2208990166;2396867006;CAGR_BOM;0.067480926
Vlr_acao;16.2;18;7.51;6.8;1.45;3.6;7.93;4.39;11.17;16.16;CAGR_RUIM;-0.000247188;16.15800272;16.15600568;16.15400889;16.15201235;16.15001606;CAGR_RUIM;-9.89E-05
Receita_liquida;21016;22846;18395;22674;19268;19819;25690;26928;25655;28901;CAGR_RUIM;0.032372152;29836.58756;30802.46211;31799.60409;32829.02571;33891.77192;CAGR_BOM;0.025814952
Custos;-14967;-16497;-13158;-15319;-13095;-13113;-17510;-19031;-18312;-19435;CAGR_BOM;0.026466969;-19949.38554;-20477.38531;-21019.35963;-21575.67837;-22146.72118;CAGR_RUIM;0.02111812
Resultado_bruto;6049;6349;5237;7355;6173;6706;8180;7897;7343;9466;CAGR_BOM;0.045799167;9887.202022;10325.0768;10780.24446;11253.34734;11745.05074;CAGR_BOM;0.035038008
Despesas_oper;-5198;-5135;-4171;-5264;-5466;-5993;-7138;-7544;-8385;-7847;CAGR_RUIM;0.042045633;-8176.932079;-8520.736362;-8878.996113;-9252.319121;-9641.338732;CAGR_RUIM;0.033497404
Res_operacional;851;1214;1066;2091;707;713;1042;353;-1042;1619;CAGR_BOM;0.066428465;1710.269942;1804.340438;1901.248349;2001.028217;2103.712005;CAGR_BOM;0.042279808
Res_Financeiro;-691;-677;-495;-679;-627;-776;-765;-741;-962;-696;CAGR_RUIM;0.000721244;-696.5019856;-697.0043332;-697.5070431;-698.0101156;-698.513551;CAGR_RUIM;0.000576953
IR_e_CSSL;-54;-214;-194;-474;-66;-32;-82;121;571;81;CAGR_BOM;0;81;81;81;81;81;CAGR_BOM;0
Lucro_liquido;106;323;377;938;14;-95;195;-267;-1433;1004;CAGR_BOM;0.252110867;1094.767957;1188.336105;1284.741306;1384.018101;1486.198454;CAGR_BOM;0.063043278
Depreciacao;851;1212.588;1064.809;2088.73;231;223;1040.639;332;883;1616.469;CAGR_BOM;0.066261632;1723.578874;1837.786023;1959.560725;2089.404417;2227.851763;CAGR_BOM;0.052667042
Ativo_Total;11674;12082;13457;16004;16288;17527;19931;21056;24424;33056;CAGR_BOM;0.109693548;34126.09386;35230.82895;36371.3267;37548.74482;38764.27849;CAGR_BOM;0.025814952
Ativo_Circulante;8401;8512;8984;10717;10671;10708;12443;13544;12452;19248;CAGR_BOM;0.086439289;19871.09918;20514.36942;21178.46371;21864.05615;22571.8427;CAGR_BOM;0.025814952
Caixa;1425;2581;3533;4448;5580;4030;3559;3711;1364;2984;CAGR_BOM;0.076709129;3080.598501;3180.324104;3283.278039;3389.564815;3499.292322;CAGR_BOM;0.025814952
Recebiveis;3616;2403;2239;2338;1915;2782;3988;3768;5112;7907;CAGR_BOM;0.081379997;8162.966606;8427.219401;8700.026628;8981.665212;9272.421043;CAGR_BOM;0.025814952
Estoque;2688;2697;2335;2984;2578;3054;4379;4773;4565;6176;CAGR_BOM;0.086745379;6375.930411;6582.332999;6795.417283;7015.399564;7242.503144;CAGR_BOM;0.025814952
Outros_AC;671;830;875;947;598;842;517;1292;1411;2181;CAGR_BOM;0.125105673;2251.603663;2324.492919;2399.741757;2477.426562;2557.626191;CAGR_BOM;0.025814952
Ativo_Nao_Circ;3272;3569;4473;5287;5617;6819;7488;7512;11972;13808;CAGR_BOM;0.154866406;14254.99467;14716.45953;15192.86299;15684.68866;16192.43579;CAGR_BOM;0.025814952
Imobilizado;911;1027;1149;1313;1407;1438;1423;1449;5009;4492;CAGR_BOM;0.172984132;4637.415707;4787.538833;4942.521767;5102.521833;5267.701445;CAGR_BOM;0.025814952
Intangivel;106;122;817;1058;1080;1257;1233;1427;1245;1653;CAGR_BOM;0.316123667;1706.511167;1761.754606;1818.786394;1877.664423;1938.448461;CAGR_BOM;0.025814952
Outros_ANC;2254;2419;2506;2916;3130;4124;4832;4636;5718;7663;CAGR_BOM;0.130171864;7911.0678;8167.16609;8431.554831;8704.502406;8986.28588;CAGR_BOM;0.025814952
Passivo_Total;11674;12082;13457;16004;16288;17527;19931;21056;24424;33056;CAGR_RUIM;0.109693548;34126.09386;35230.82895;36371.3267;37548.74482;38764.27849;CAGR_RUIM;0.025814952
Passivo_Circ;6877;7439;7809;9719;9468;12057;14278;14880;15733;18497;CAGR_RUIM;0.104002933;19095.78769;19713.95944;20352.14273;21010.98538;21691.1562;CAGR_RUIM;0.025814952
Fornecedores;2857;3132;3149;4132;3783;5618;7726;8652;7278;7799;CAGR_RUIM;0.105637774;8051.470413;8312.113837;8581.194849;8858.986593;9145.771053;CAGR_RUIM;0.025814952
Emprest_CP;2858;2791;3055;3409;2679;3532;3802;3378;4944;6687;CAGR_RUIM;0.088721777;6903.47258;7126.952844;7357.667644;7595.851179;7841.745228;CAGR_RUIM;0.025814952
Outros_PC;1161;1514;1603;2178;3006;2907;2750;2850;3511;4011;CAGR_RUIM;0.131988577;4140.844702;4274.892755;4413.280233;4556.147612;4703.639915;CAGR_RUIM;0.025814952
Passivo_Nao_Circ;2121;1647;1697;1570;2574;2662;2694;3653;8113;8580;CAGR_RUIM;0.149991584;8857.753064;9144.497592;9440.524658;9746.134757;10061.63811;CAGR_RUIM;0.025814952
Emprest_LP;1502;999;906;297;580;407;397;1021;957;2409;CAGR_RUIM;0.048375074;2486.984514;2567.493555;2650.608846;2736.414759;2824.998393;CAGR_RUIM;0.025814952
Outros_PNC;619;648;790;1273;1994;2255;2297;2632;7156;6171;CAGR_RUIM;0.258538454;6370.76855;6577.004037;6789.915812;7009.719998;7236.639719;CAGR_RUIM;0.025814952
Patrimonio_Liq;2675;2995;3950;4715;4246;2808;2959;2523;578;5979;CAGR_RUIM;0.083753409;6172.553097;6372.371923;6578.659316;6791.624675;7011.484181;CAGR_RUIM;0.025814952
