Tipo;Indicadores;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Status
Liquidez;Liquid. corrente;4.235294118;4.039370079;3.867132867;3.471910112;3.463157895;3.512437811;2.401685393;3.301960784;2.112068966;1.716794731;1.716483516;1.716483516;1.716483516;1.716483516;1.716483516;CAGR_RUIM
Liquidez;Liquid. imediata;1.696078431;1.590551181;1.293706294;1.123595506;1.184210526;1.2039801;0.946629213;0.921568627;0.596982759;0.615806806;0.740659341;0.740659341;0.740659341;0.740659341;0.740659341;CAGR_RUIM
Liquidez;Capital de giro;330;386;410;440;468;505;499;587;516;653;710.0097928;773.1808373;841.9723406;916.8843668;998.4614713;CAGR_BOM
Liquidez;P / Cap. de Giro;6.219114219;9.046118658;6.43686074;5.45182534;3.992269985;4.402709745;9.821376858;8.495001768;11.30060293;10.44104135;10.2117952;9.972287514;9.738397249;9.509992652;9.286945062;CAGR_BOM
Liquidez;P / AC Líq.;5.208902772;8.333655852;5.800248139;4.621971387;3.492303463;3.705614035;7.271316101;6.821567767;7.288888889;7.331182796;7.166943454;6.998849794;6.834698608;6.674397427;6.517855953;CAGR_BOM
Liquidez;Giro dos Ativos;1.329411765;1.352201258;1.368421053;1.32160804;1.313012896;1.366041896;1.296472831;1.460287081;1.188251946;0.561440678;0.562234795;0.562234795;0.562234795;0.562234795;0.562234795;CAGR_BOM
Liquidez;PME;51.68765743;56.52892562;56.98324022;58.50746269;59.25465839;57.47460087;55.27173913;66.25766871;71.36212625;125.0299401;126.3982815;127.7815982;129.180054;130.5938147;132.0230477;CAGR_RUIM
Liquidez;PMR;95.04424779;87.06976744;92.43243243;94.79087452;90;91.52542373;88.94117647;90.11795544;88.55270995;135.3962264;135.3962264;135.3962264;135.3962264;135.3962264;135.3962264;CAGR_RUIM
Liquidez;PMP;32.52817283;25.04970179;22.41758242;40.90909091;35.33742331;34.28571429;50.66305819;46.47887324;51.75965665;151.8393235;169.0569698;170.8550042;172.6716017;174.5069418;176.3612057;CAGR_RUIM
Liquidez;CICLO OPER.;146.7319052;143.5986931;149.4156727;153.2983372;149.2546584;149.0000246;144.2129156;156.3756242;159.9148362;260.4261665;261.7945079;263.1778246;264.5762804;265.9900411;267.4192741;CAGR_RUIM
