Tipo;Indicadores;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Status
Liquidez;Liquid. corrente;2.380024361;2.383919598;2.112096774;2.168594035;1.521546961;1.568472906;1.783640227;1.655829312;1.706590909;1.712795276;1.713076014;1.713076014;1.713076014;1.713076014;1.713076014;CAGR_RUIM
Liquidez;Liquid. imediata;0.331303289;0.462311558;0.32983871;0.34144857;0.240515654;0.312972085;0.276912181;0.29514859;0.356590909;0.66496063;0.771760536;0.771760536;0.771760536;0.771760536;0.771760536;CAGR_BOM
Liquidez;Capital de giro;1133;1377;1379;1920;1416;1731;2213;2582;3109;3621;3890.530096;4180.122735;4491.27128;4825.580249;5184.773595;CAGR_BOM
Liquidez;P / Cap. de Giro;0.468034439;0.568397729;0.505358507;0.293315522;0.227628172;0.2525096;0.493832173;0.479665263;3.814731425;2.223529412;2.385722324;2.559746221;2.7464641;2.946801909;3.16175314;CAGR_BOM
Liquidez;P / AC Líq.;0.381224313;0.447759539;0.341277855;0.219900743;0.1188063;0.137192127;0.292362386;0.282955383;2.532023911;1.744237435;1.871874439;2.008416266;2.154917986;2.312106113;2.480760156;CAGR_BOM
Liquidez;Giro dos Ativos;0.821024259;0.836084906;0.855191257;0.795825619;0.783134243;0.766968912;0.807417617;0.686783804;0.619584193;0.451685231;0.45178326;0.45178326;0.45178326;0.45178326;0.45178326;CAGR_BOM
Liquidez;PME;154.761171;131.1533243;121.6717141;152.7631579;122.8060523;101.5423945;112.4037639;132.1284185;131.375;121.6342412;119.8538908;118.0995992;116.370985;114.6676724;112.9892911;CAGR_BOM
Liquidez;PMR;127.4064347;131.1029619;134.6571639;160.0507614;163.2976212;167.2014862;174.6927374;190.8120133;200.6096311;215.4811849;215.4811849;215.4811849;215.4811849;215.4811849;215.4811849;CAGR_RUIM
Liquidez;PMP;58.18029267;56.2422574;52.53588517;45.17647059;84.0167364;72;78.40399002;68.71643987;75.59400998;120.9365854;116.1399494;114.4777945;112.8388946;111.2229397;109.6296232;CAGR_RUIM
Liquidez;CICLO OPER.;282.1676057;262.2562862;256.328878;312.8139193;286.1036735;268.7438808;287.0965013;322.9404319;331.9846311;337.1154262;335.3350757;333.5807841;331.85217;330.1488574;328.470476;CAGR_RUIM
